Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,9,22,2.81074,32,32,0,0,,202,807,162,69,63,21,44,,7,245,10.9156,1.96172,5.56429,0.917,0.303938,0.054623,0.2493150681257248,0.214446,1.01931,0.288783,0.771663,,,2.79483,5.91911,5.81812,6.46999979019165,,,,,,,1152.3000000000002,5.704455445544555,1074,5.316831683168317,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13,9,21,2.9169,32,32,0,0,,196,795,160,70,64,18,52,,7,240,10.9961,2.3928,4.59548,0.812,0.301781,0.0656691,0.2361120507121086,0.217518,1.08064,0.297709,0.75883,,,2.77293,5.75798,5.76731,10.199999809265137,,,,,,,1116,5.6938775510204085,1049,5.3520408163265305,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",14,9,21,3.01049,32,32,0,0,,195,783,159,72,65,20,50,,6,242,11.1448,2.32029,4.80318,0.911,0.30871,0.064272,0.244438074529171,0.219268,1.07399,0.300055,0.75917,,,2.84127,5.6505,5.40986,10.399999618530273,,,,,,,1099.6,5.638974358974359,1031,5.287179487179487,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",14,10,20,3.15767,32,32,0,0,,201,823,186,78,70,18,51,,7,195,8.74314,2.27253,3.84732,0.802,0.236745,0.061535,0.1752099208533764,0.242515,1.17823,0.303493,0.747515,,,3.20935,4.76164,5.19966,29.670000076293945,,,,,,,998.4,4.967164179104477,987,4.91044776119403,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Jacob deGrom","TEX",12,10,18,3.476,31,31,0,0,,185,754,160,77,71,25,42,,6,214,10.425,2.0479,5.09059,1.204,0.283444,0.05568,0.22776394709944725,0.225878,1.09234,0.288201,0.74695,,,3.33175,4.30954,3.71006,42.529998779296875,,,,,,,929.5,5.024324324324325,884,4.778378378378378,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Cole Ragans","KCR",12,9,18,3.22649,29,29,0,0,,172,710,139,67,62,18,62,,6,211,11.015,3.25129,3.38787,0.933,0.296547,0.087532,0.2090151607990265,0.216084,1.16793,0.292238,0.760496,,,3.21693,4.24898,4.3393,49.869998931884766,,,,,,,907.9999999999999,5.27906976744186,844,4.906976744186046,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",12,7,18,3.19138,28,28,0,0,,169,686,140,65,60,18,44,,9,205,10.9718,2.3638,4.6416,0.966,0.299653,0.064558,0.23509486764669418,0.220891,1.09201,0.297352,0.750188,,,3.03345,4.15073,4.31761,32.33000183105469,,,,,,,916.2,5.4213017751479295,862,5.100591715976331,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",13,11,20,3.3211,32,32,0,0,,202,841,196,83,74,17,47,,6,190,8.44995,2.1174,3.99072,0.759,0.225332,0.056464,0.1688680239021778,0.249189,1.20737,0.308483,0.731503,,,3.15053,4.12489,3.99854,55.470001220703125,,,,,,,997.1000000000003,4.936138613861387,1010,5,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Sonny Gray","BOS",12,10,18,3.68218,31,31,0,0,,181,757,171,81,74,21,48,,6,190,9.42074,2.36689,3.98021,1.053,0.250801,0.063012,0.18778898566961288,0.243104,1.20609,0.304197,0.730359,,,3.44519,3.87305,3.46659,112.80000305175781,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Dylan Cease","TOR",12,10,18,3.60353,32,32,0,0,,187,787,159,81,75,23,68,,6,219,10.5166,3.29225,3.19434,1.093,0.277754,0.086952,0.19080200791358948,0.223294,1.2164,0.289419,0.7488,,,3.5699,3.84097,3.28973,69.7300033569336,,,,,,,903.5000000000001,4.831550802139038,852,4.55614973262032,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Framber Valdez",,12,10,19,3.47426,31,31,0,0,,190,795,180,81,73,16,63,,8,179,8.4397,2.96459,2.84684,0.761,0.224496,0.0788581,0.14563799649477005,0.2489,1.27684,0.309922,0.733158,,,3.47067,3.71929,3.81471,91.87000274658203,,,,,,,886.2,4.66421052631579,887,4.668421052631579,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Max Fried","NYY",13,9,19,3.33937,31,31,0,0,,189,791,178,78,70,19,54,,7,179,8.49654,2.58545,3.28629,0.896,0.226008,0.068773,0.15723492205142975,0.243656,1.22549,0.298779,0.750287,,,3.52082,3.64745,3.70727,57.66999816894531,,,,,,,877.1000000000001,4.640740740740742,873,4.619047619047619,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Yoshinobu Yamamoto","LAD",11,8,17,3.43268,28,28,0,0,,161,668,145,68,62,17,49,,5,170,9.46181,2.74468,3.44732,0.968,0.253892,0.073649,0.18024294078350067,0.236314,1.20346,0.29923,0.745291,,,3.44673,3.60515,3.44526,23,,,,,,,783.3000000000002,4.865217391304349,762,4.732919254658385,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Hunter Brown","HOU",12,10,18,3.63146,31,31,0,0,,184,770,165,81,74,21,61,,7,200,9.77278,2.97779,3.28189,1.02,0.259739,0.079143,0.18059607595205307,0.235102,1.22679,0.29966,0.736316,,,3.54619,3.58674,3.28731,33.869998931884766,,,,,,,870.3000000000002,4.729891304347827,843,4.581521739130435,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Hunter Greene","CIN",11,11,17,3.93789,31,31,0,0,,184,769,157,86,80,28,61,,10,220,10.772,3.00812,3.58096,1.38,0.285936,0.079849,0.2060871496796608,0.224551,1.18682,0.285804,0.741096,,,3.9018,3.57287,3.40522,43.06999969482422,,,,,,,836.0000000000002,4.543478260869566,783,4.255434782608695,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Jesús Luzardo","PHI",12,10,18,3.57444,31,31,0,0,,181,752,159,78,72,23,57,,6,199,9.88702,2.82722,3.49708,1.161,0.264313,0.075581,0.188731849193573,0.230748,1.19357,0.290453,0.753639,,,3.65023,3.50963,3.81902,73.33000183105469,,,,,,,852.1,4.707734806629834,815,4.502762430939226,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Joe Ryan","MIN",11,10,17,3.82954,31,31,0,0,,182,753,164,83,78,27,44,,9,199,9.84212,2.17822,4.51843,1.312,0.264753,0.058594,0.2061590924859047,0.233545,1.1391,0.288764,0.732807,,,3.7113,3.43248,3.00572,62.20000076293945,,,,,,,827.2999999999998,4.5456043956043946,798,4.384615384615385,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Nathan Eovaldi","TEX",11,9,17,3.59563,29,29,0,0,,175,723,163,76,70,20,44,,7,171,8.83518,2.29381,3.85175,1.045,0.236979,0.061525,0.1754540354013443,0.242858,1.18917,0.297599,0.733897,,,3.5674,3.3949,3.15809,150,,,,,,,814.2,4.652571428571429,804,4.594285714285714,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Bryan Woo","SEA",12,11,19,3.58908,32,32,0,0,,198,811,178,85,79,26,45,,8,198,9.03558,2.03084,4.44919,1.207,0.244563,0.054968,0.18959498032927513,0.234757,1.12731,0.283986,0.740979,,,3.66343,3.34092,3.01032,39.72999954223633,,,,,,,919.6000000000001,4.644444444444445,889,4.48989898989899,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Blake Snell","LAD",11,8,16,3.52259,28,28,0,0,,164,689,133,70,64,19,72,,4,200,11.0148,3.93525,2.79902,1.039,0.291036,0.103978,0.18705786019563675,0.217734,1.25169,0.291102,0.757569,,,3.58228,3.28673,3.42732,62.66999816894531,,,,,,,806.1000000000001,4.915243902439025,745,4.5426829268292686,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Ranger Suárez",,11,9,17,3.54965,29,29,0,0,,169,707,162,73,67,18,48,,6,154,8.22742,2.54966,3.22687,0.945,0.218301,0.0676509,0.1506499946117401,0.247719,1.24234,0.299419,0.738659,,,3.62017,3.26464,3.28603,173.39999389648438,,,,,,,754,4.461538461538462,757,4.479289940828402,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Pablo López","MIN",11,10,17,3.81451,31,31,0,0,,182,758,173,83,77,23,47,,8,181,8.96038,2.32012,3.86204,1.137,0.238844,0.061844,0.1770000346004963,0.245654,1.20775,0.300031,0.727355,,,3.69023,3.24153,3.00596,139.6699981689453,,,,,,,811.1000000000001,4.456593406593408,808,4.43956043956044,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Logan Gilbert","SEA",11,9,17,3.39244,29,29,0,0,,166,678,144,68,63,21,39,,6,182,9.8399,2.09198,4.70362,1.134,0.26852,0.057088,0.21143218502402306,0.227512,1.09786,0.286096,0.74832,,,3.38998,3.1662,2.89902,36.93000030517578,,,,,,,824.7000000000002,4.968072289156628,786,4.734939759036145,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"George Kirby","SEA",12,10,18,3.50094,31,31,0,0,,178,732,165,75,69,22,34,,7,174,8.78757,1.70423,5.15633,1.116,0.237655,0.04609,0.19156504794955254,0.239141,1.11685,0.289229,0.735273,,,3.48438,3.16044,2.86179,63.869998931884766,,,,,,,842.5999999999999,4.7337078651685385,829,4.657303370786517,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Kyle Bradish","BAL",10,8,16,3.70101,28,28,0,0,,158,663,146,71,65,19,49,,7,167,9.49342,2.80948,3.37906,1.075,0.25147,0.07442,0.17704986780881882,0.240167,1.23386,0.301206,0.737527,,,3.64898,3.12596,2.5456,77.06999969482422,,,,,,,721.9,4.568987341772152,709,4.487341772151899,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"Tyler Glasnow","LAD",10,8,15,3.59481,26,26,0,0,,148,612,125,64,59,17,54,,4,172,10.4734,3.30251,3.17134,1.057,0.280803,0.0885439,0.19225895404815674,0.225831,1.21354,0.295484,0.743281,,,3.52081,3.06784,2.99611,110.80000305175781,,,,,,,731.1000000000001,4.939864864864866,689,4.655405405405405,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Michael King","SDP",11,10,17,3.7932,31,31,0,0,,176,742,158,80,74,23,61,,7,182,9.33428,3.10624,3.00501,1.177,0.245699,0.081763,0.1639360561966896,0.234609,1.24476,0.288319,0.743299,,,3.92083,3.06207,2.79623,143.8699951171875,,,,,,,768.7,4.367613636363637,741,4.2102272727272725,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Zack Wheeler","PHI",9,6,13,3.20176,21,21,0,0,,126,511,105,49,45,15,31,,6,145,10.3839,2.24689,4.62145,1.038,0.284057,0.0614649,0.22259202599525452,0.222277,1.08713,0.289016,0.75602,,,3.20896,3.01561,3.24388,141.92999267578125,,,,,,,653.9000000000001,5.189682539682541,614,4.873015873015873,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"José Soriano","LAA",11,11,18,3.6588,31,31,0,0,,177,759,169,80,72,15,75,,9,165,8.36195,3.82696,2.18501,0.759,0.217039,0.099331,0.11770797520875931,0.249994,1.37693,0.310498,0.736079,,,3.79486,3.01001,3.12168,351.6700134277344,,,,,,,763.9,4.315819209039548,768,4.338983050847458,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Spencer Schwellenbach","ATL",11,8,16,3.64809,28,28,0,0,,167,689,159,74,68,20,38,,6,163,8.7822,2.06714,4.24849,1.085,0.236046,0.05556,0.18048600852489471,0.247013,1.18473,0.301257,0.73206,,,3.55339,2.98116,3.18476,77.47000122070312,,,,,,,770.4,4.613173652694611,769,4.604790419161676,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Brandon Woodruff","MIL",10,9,15,3.84306,28,28,0,0,,160,662,143,73,68,23,44,,6,168,9.47544,2.45286,3.86301,1.309,0.254047,0.065764,0.18828309327363968,0.234276,1.17027,0.285643,0.737288,,,3.85712,2.95654,2.72519,106.52999877929688,,,,,,,715.3,4.470625,687,4.29375,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Aaron Nola","PHI",11,10,16,3.98759,31,31,0,0,,181,759,175,86,80,27,46,,6,176,8.75906,2.29704,3.81319,1.323,0.231823,0.060795,0.17102797701954842,0.247656,1.22367,0.294402,0.7323,,,3.96279,2.95234,2.97297,210.8000030517578,,,,,,,748.3000000000002,4.13425414364641,750,4.143646408839779,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Freddy Peralta","MIL",11,10,17,3.90843,31,31,0,0,,178,750,154,83,77,25,66,,8,200,10.1166,3.3189,3.04817,1.26,0.266066,0.0872869,0.17877891659736633,0.226944,1.23362,0.284614,0.739783,,,3.94873,2.94727,2.84169,60.79999923706055,,,,,,,787.3000000000001,4.423033707865169,743,4.174157303370786,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"MacKenzie Gore","WSN",11,11,17,3.76138,31,31,0,0,,176,740,153,79,73,22,67,,7,193,9.88995,3.41006,2.90022,1.133,0.260765,0.089912,0.1708528846502304,0.229737,1.25099,0.290208,0.744238,,,3.82798,2.92779,3.31679,196.92999267578125,,,,,,,798.0000000000002,4.53409090909091,758,4.306818181818182,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Nick Pivetta","SDP",12,11,17,3.95757,32,32,0,0,,193,808,173,91,85,30,60,,6,213,9.89256,2.77492,3.56498,1.387,0.263142,0.073813,0.18932905048131943,0.232487,1.20092,0.285564,0.742764,,,3.95352,2.89757,2.70999,85.4000015258789,,,,,,,837.4000000000001,4.338860103626944,803,4.160621761658031,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
"Shane McClanahan","TBR",9,8,14,3.56463,24,24,0,0,,142,588,129,61,56,18,42,,4,154,9.72472,2.63344,3.69279,1.129,0.261379,0.070781,0.19059806317090988,0.23727,1.19719,0.298922,0.74987,,,3.5693,2.88847,2.72945,250.27000427246094,,,,,,,664,4.676056338028169,646,4.549295774647887,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Drew Rasmussen","TBR",10,11,16,3.9171,31,31,0,0,,171,718,170,81,74,21,45,,6,156,8.23302,2.35629,3.49406,1.131,0.217809,0.062337,0.1554720215499401,0.25429,1.25421,0.302822,0.72444,,,3.83114,2.84433,2.4791,145.8699951171875,,,,,,,724.1000000000001,4.234502923976609,741,4.333333333333333,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Kevin Gausman","TOR",11,11,16,4.05068,31,31,0,0,,185,785,178,90,83,26,55,,4,181,8.76261,2.65412,3.30151,1.247,0.22997,0.069656,0.16031405329704285,0.245039,1.25413,0.292845,0.726613,,,3.94644,2.8255,2.21016,116.80000305175781,,,,,,,771.4000000000001,4.16972972972973,772,4.172972972972973,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Spencer Strider","ATL",11,9,15,3.82731,28,28,0,0,,161,674,140,73,68,21,58,,7,187,10.474,3.23197,3.24074,1.183,0.277676,0.085683,0.19199316948652267,0.22898,1.22643,0.295231,0.738892,,,3.72641,2.66355,2.89192,101.87000274658203,,,,,,,748.1000000000001,4.646583850931678,711,4.416149068322981,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Chase Burns","CIN",8,8,12,3.72758,33,23,0,1,,134,556,118,60,55,18,42,,4,152,10.2333,2.82689,3.61999,1.224,0.273702,0.0756085,0.19809375703334808,0.231568,1.19602,0.294198,0.745093,,,3.6665,2.62301,2.63404,115.93000030517578,,,,,,,633.3999999999999,4.72686567164179,606,4.522388059701493,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Eury Pérez","MIA",9,10,15,3.99253,28,28,0,0,,154,647,135,73,68,22,54,,5,172,10.0352,3.13472,3.20132,1.287,0.265265,0.0828611,0.1824040710926056,0.228628,1.22183,0.285061,0.732902,,,3.91222,2.61372,2.48777,81.80000305175781,,,,,,,685,4.4480519480519485,651,4.2272727272727275,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
"Jack Flaherty","DET",10,10,16,3.91339,29,29,0,0,,166,708,152,78,72,22,58,,7,179,9.71893,3.1615,3.07415,1.186,0.252692,0.082199,0.17049308121204376,0.235885,1.26658,0.293605,0.736781,,,3.86811,2.60553,2.36867,214.8699951171875,,,,,,,725.6000000000001,4.371084337349399,707,4.259036144578313,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Shohei Ohtani","LAD",9,6,13,3.44353,23,23,0,0,,117,480,98,48,45,15,36,,5,136,10.4805,2.78749,3.75983,1.127,0.283905,0.0755101,0.20839517563581467,0.223433,1.14831,0.289577,0.75434,,,3.47955,2.57604,2.64952,1.1299999952316284,,,,,,,575.5000000000002,4.918803418803421,539,4.6068376068376065,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yusei Kikuchi","LAA",10,11,16,4.10224,31,31,0,0,,178,748,166,87,81,26,63,,5,182,9.20495,3.18317,2.89176,1.335,0.243113,0.0840711,0.15904197096824646,0.243671,1.28514,0.295352,0.738323,,,4.17105,2.53386,2.44712,350.6000061035156,,,,,,,725.8000000000001,4.0775280898876405,712,4,,,,,,,,,,,,,,,,,,,"Yusei Kikuchi","20633",579328
"Sandy Alcantara","MIA",10,12,16,4.1493,31,31,0,0,,187,795,189,93,86,22,56,,8,159,7.64946,2.69996,2.83317,1.072,0.199481,0.070409,0.12907187640666962,0.258935,1.31489,0.303609,0.709441,,,4.00748,2.51171,2.57427,161.07000732421875,,,,,,,747.7999999999998,3.9989304812834217,775,4.144385026737968,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Merrill Kelly","ARI",11,11,16,4.14771,31,31,0,0,,185,791,186,92,85,24,57,,5,169,8.22688,2.75504,2.98612,1.163,0.213899,0.071631,0.14226800203323364,0.25559,1.31314,0.303037,0.720276,,,3.98734,2.48128,2.50772,239.8699951171875,,,,,,,742.1999999999999,4.011891891891891,765,4.135135135135135,,,,,,,,,,,,,,,,,,,"Merrill Kelly","11156",518876
"Shane Bieber","TOR",10,9,14,3.86406,26,26,0,0,,153,643,153,71,66,19,36,,5,140,8.21375,2.13637,3.84473,1.147,0.217208,0.056495,0.16071287170052528,0.253749,1.23529,0.300929,0.726914,,,3.77356,2.46885,2.18666,145.3300018310547,,,,,,,657.7,4.298692810457517,675,4.411764705882353,,,,,,,,,,,,,,,,,,,"Shane Bieber","19427",669456
"Kris Bubic","KCR",10,9,12,3.79699,40,24,0,1,,155,655,147,71,66,17,54,,5,148,8.56154,3.10602,2.75644,1.008,0.225466,0.081796,0.14366954565048218,0.246375,1.29111,0.30039,0.733666,,,3.82711,2.42083,2.46878,213.8000030517578,,,,,,,678.7,4.378709677419355,677,4.367741935483871,,,,,,,,,,,,,,,,,,,"Kris Bubic","21455",663460
"Nick Lodolo","CIN",9,10,14,4.06803,28,28,0,0,,154,653,147,75,70,22,43,,13,158,9.18734,2.49826,3.67749,1.297,0.241321,0.0656211,0.17569991201162338,0.246613,1.23218,0.299526,0.723823,,,4.04482,2.40229,2.54214,125,,,,,,,634.8000000000002,4.122077922077923,632,4.103896103896104,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Zac Gallen",,11,12,16,4.21713,32,32,0,0,,194,832,192,98,91,27,63,,7,184,8.55046,2.90982,2.93849,1.237,0.221077,0.075235,0.14584195613861084,0.252161,1.31658,0.300129,0.721663,,,4.09694,2.37759,2.27458,224.39999389648438,,,,,,,762.3,3.929381443298969,777,4.005154639175258,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
"Luis Castillo","SEA",11,11,17,3.85786,31,31,0,0,,181,763,170,84,78,25,51,,7,172,8.52038,2.53056,3.367,1.236,0.225222,0.066891,0.15833086520433426,0.241479,1.21932,0.285907,0.736157,,,3.98235,2.36354,2.03452,159.1300048828125,,,,,,,759.9000000000001,4.198342541436465,750,4.143646408839779,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Trevor Rogers","BAL",11,11,16,4.18121,31,31,0,0,,184,790,186,93,86,24,62,,7,157,7.65648,3.04,2.51858,1.156,0.198643,0.078871,0.11977212131023407,0.257366,1.34397,0.299531,0.722836,,,4.22275,2.35873,1.87387,167.72999572753906,,,,,,,689.8000000000001,3.7489130434782614,715,3.885869565217391,,,,,,,,,,,,,,,,,,,"Trevor Rogers","22286",669432
"Matthew Boyd","CHC",11,11,17,3.93263,31,31,0,0,,183,772,173,86,80,26,55,,8,165,8.09398,2.70818,2.98872,1.255,0.213771,0.071526,0.14224499464035034,0.244654,1.24619,0.285255,0.738071,,,4.17902,2.35501,2.79987,230,,,,,,,725.6000000000001,3.965027322404372,718,3.9234972677595628,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"David Peterson","NYM",12,10,18,3.67625,31,31,0,0,,182,782,175,82,74,19,70,,8,161,7.94162,3.47206,2.2873,0.916,0.205335,0.0897719,0.11556296795606613,0.249223,1.34956,0.299,0.744632,,,3.98427,2.34455,2.94026,362.4700012207031,,,,,,,746.0999999999999,4.099450549450549,751,4.126373626373627,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Tanner Bibee","CLE",10,11,16,4.07779,31,31,0,0,,182,773,175,89,83,26,56,,8,171,8.46279,2.75213,3.075,1.261,0.221443,0.072014,0.14942898601293564,0.246656,1.2664,0.291566,0.727515,,,4.13127,2.33613,2.14249,181.1300048828125,,,,,,,722,3.967032967032967,722,3.967032967032967,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Joe Musgrove","SDP",10,9,15,3.89702,28,28,0,0,,159,668,152,74,69,22,41,,10,150,8.50679,2.29782,3.70212,1.222,0.224863,0.060739,0.16412382572889328,0.24658,1.21375,0.293185,0.728568,,,3.95948,2.31692,2.33677,250.8000030517578,,,,,,,657.8,4.1371069182389935,656,4.1257861635220126,,,,,,,,,,,,,,,,,,,"Joe Musgrove","12970",605397
"Mitch Keller","PIT",10,12,15,4.34919,31,31,0,0,,180,771,182,94,87,23,55,,10,156,7.78558,2.74469,2.8366,1.15,0.201733,0.0711179,0.1306149736046791,0.258095,1.31861,0.301873,0.700478,,,4.14834,2.29717,2.10364,353.79998779296875,,,,,,,692.8999999999999,3.8494444444444436,718,3.988888888888889,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Brady Singer","CIN",10,11,15,4.39498,31,31,0,0,,176,758,178,92,86,26,56,,10,164,8.39532,2.86715,2.9281,1.357,0.216226,0.0738451,0.14238101243972778,0.256635,1.32974,0.301203,0.718644,,,4.35149,2.29072,2.28163,327.6700134277344,,,,,,,649.8000000000002,3.6920454545454557,672,3.8181818181818183,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"Mason Miller","SDP",4,2,0,2.38419,66,0,32,2,,66,263,41,19,17,6,25,,2,104,14.244,3.44622,4.13321,0.751,0.397565,0.0961879,0.301377035677433,0.173427,1.0006,0.281841,0.804654,,,2.31227,2.288,2.39205,34.130001068115234,,,,,,,603.0000000000001,9.136363636363638,547,8.287878787878787,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Casey Mize","DET",10,10,15,4.0871,29,29,0,0,,162,688,161,80,74,22,45,,5,143,7.94295,2.49217,3.18716,1.209,0.20837,0.065378,0.1429920196533203,0.253208,1.27107,0.295536,0.721062,,,4.04403,2.27946,1.91887,259.5299987792969,,,,,,,645.5999999999998,3.985185185185184,660,4.074074074074074,,,,,,,,,,,,,,,,,,,"Casey Mize","20492",663554
"Grayson Rodriguez","LAA",8,8,13,3.80794,23,23,0,0,,129,540,117,59,55,17,44,,5,136,9.47328,3.04313,3.113,1.171,0.251042,0.080643,0.17039890587329865,0.237733,1.24597,0.295036,0.740968,,,3.84376,2.26582,2.19636,308.4700012207031,,,,,,,566.3,4.389922480620155,549,4.255813953488372,,,,,,,,,,,,,,,,,,,"Grayson Rodriguez","24492",680570
"Cody Ponce","TOR",9,9,12,4.00521,38,24,0,1,,153,645,149,73,68,20,44,,6,147,8.66139,2.59065,3.34333,1.161,0.227468,0.0680364,0.1594315692782402,0.250525,1.26537,0.30191,0.722659,,,3.87416,2.25634,1.70735,317.3299865722656,,,,,,,646.8000000000001,4.227450980392157,653,4.26797385620915,,,,,,,,,,,,,,,,,,,"Cody Ponce","17920",664074
"Carlos Rodón","NYY",10,9,15,4.0289,28,28,0,0,,162,688,145,78,72,23,59,,7,174,9.71118,3.27042,2.9694,1.288,0.253462,0.085358,0.16810405254364014,0.232716,1.25909,0.286506,0.73597,,,4.06206,2.23123,1.97215,193.1999969482422,,,,,,,688.9000000000001,4.252469135802469,661,4.080246913580247,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Nolan McLean","NYM",10,9,16,3.74008,28,28,0,0,,163,698,151,74,68,17,63,,9,154,8.51436,3.49328,2.43736,0.938,0.220995,0.0906699,0.13032489269971848,0.241677,1.31564,0.295346,0.73466,,,3.92713,2.20424,2.5697,92.19999694824219,,,,,,,696.5000000000001,4.273006134969326,686,4.208588957055214,,,,,,,,,,,,,,,,,,,"Nolan McLean","33703",690997
"Michael Wacha","KCR",10,11,14,4.39053,29,29,0,0,,170,725,174,89,83,24,50,,6,135,7.14828,2.64321,2.70439,1.272,0.186173,0.0688409,0.11733192950487137,0.259982,1.31792,0.293904,0.710045,,,4.36376,2.15712,1.88136,364.6700134277344,,,,,,,612.4,3.6023529411764703,640,3.764705882352941,,,,,,,,,,,,,,,,,,,"Michael Wacha","14078",608379
"Cade Cavalli","WSN",9,10,14,3.97533,26,26,0,0,,152,648,149,73,67,17,52,,8,127,7.54725,3.08985,2.4426,0.999,0.19648,0.0804391,0.11604100465774536,0.25459,1.32861,0.299361,0.721086,,,4.09472,2.15709,2.35692,344.1300048828125,,,,,,,602.3,3.9625,613,4.032894736842105,,,,,,,,,,,,,,,,,,,"Cade Cavalli","27473",676917
"Shota Imanaga","CHC",10,10,15,4.11696,29,29,0,0,,171,715,168,84,78,30,37,,5,156,8.17146,1.96337,4.16195,1.552,0.217724,0.0523129,0.1654110737144947,0.249861,1.19871,0.284144,0.742441,,,4.29826,2.15557,2.22836,171.1300048828125,,,,,,,645.6000000000001,3.7754385964912287,651,3.807017543859649,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Clay Holmes","NYM",11,10,17,3.91481,31,31,0,0,,176,760,173,84,76,16,71,,10,146,7.49623,3.62008,2.07074,0.844,0.19232,0.092875,0.0994449257850647,0.254911,1.38918,0.303279,0.723546,,,4.06582,2.14265,2.33443,347.7300109863281,,,,,,,704.8000000000002,4.004545454545456,721,4.096590909090909,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
